Date,Name,Country,BusinessType,BusinessSubType,BreachType,DataType,DataType2,InsideOutside,ThirdParty,ThirdPartyName,TotalAffected,RefPage,UID,XREF1,StockSymbol,DataRecovered,ConsumerLawsuit,ArrestProsecution
1/10/2000,CD Universe,US,Biz,Retail,Hack,CCN,?,Outside,No,,300000,http://attrition.org/dataloss/2000/01/cduniv01.html,DL-0427,,No,No,No,No
11/14/2000,Western Union,US,Biz,Fin,Hack,CCN,?,Outside,No,,15700,http://attrition.org/dataloss/2000/11/westernunion01.html,DL-0001,,WU,No,No,No
11/15/2000,Contour Software,US,Biz,Tech,Web,SSN,?,Inside - Accidental,No,,700,http://attrition.org/dataloss/2000/11/mortgage01.html,DL-0002,,No,No,No,No
11/15/2000,Travelocity,US,Biz,Retail,Web,NAA,?,Inside - Accidental,No,,51000,http://attrition.org/dataloss/2000/11/travelocity01.html,DL-0003,,No,No,No,No
12/9/2000,University of Washington Med Ctr.,US,Edu,Med,Hack,SSN,NAA,Outside,No,,4000,http://attrition.org/dataloss/2000/12/uwmc03.html,DL-0429,,No,No,No,No
3/5/2001,Amazon/Bibliofind.com,US,Biz,Retail,Hack,CCN,NAA,Outside,No,,98000,http://attrition.org/dataloss/2001/03/biblio01.html,DL-0004,,AMZN,Unknown,Unknown,Unknown
3/20/2001,atomicpark.com,US,Biz,Tech,Hack,CCN,?,Outside,No,,500,http://attrition.org/dataloss/2001/03/atomicpark01.html,DL-0005,,No,Unknown,Unknown,Unknown
4/2/2001,ADDR.com,US,Biz,Tech,Hack,CCN,NAA,Outside,No,,46000,http://attrition.org/dataloss/2001/04/addr01.html,DL-0006,,No,Unknown,Unknown,Unknown
4/17/2001,Accubyte,US,Biz,Tech,Web,CCN,NAA,Inside - Accidental,No,,250,http://attrition.org/dataloss/2001/04/accubyte01.html,DL-0007,,No,Unknown,Unknown,Unknown
4/27/2001,Egghead.com,US,Biz,Retail,Hack,CCN,?,Outside,No,,?,http://attrition.org/dataloss/2001/04/egghead01.html,DL-0008,,EGHDQ.PK,Unknown,Unknown,Unknown
5/25/2001,Health.org,US,Gov,Fed,Web,NAA,?,Inside - Accidental,No,,?,http://attrition.org/dataloss/2001/05/health01.html,DL-0009,,No,Unknown,Unknown,Unknown
